"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"종로구","공원082_효자로 29_검지2","37.5787","126.9737","1","2022-12-01"
"종로구","공원082_효자로 29_메인","37.5787","126.9737","1","2022-12-01"
"종로구","공원083_효자로 29_검지1","37.5786","126.9737","1","2022-12-01"
"종로구","공원083_효자로 29_검지2","37.5786","126.9737","1","2022-12-01"
"종로구","공원083_효자로 29_메인","37.5786","126.9737","1","2022-12-01"
"종로구","공원084_삼청동 산2-1번지일대_검지1","37.5877","126.9839","1","2022-12-01"
"종로구","공원084_삼청동 산2-1번지일대_메인","37.5877","126.9839","1","2022-12-01"
"종로구","공원085_삼청동 산2-1번지일대_메인","37.5879","126.9843","1","2022-12-01"
"종로구","공원086_삼청동 산2-1번지일대_메인","37.5896","126.9834","1","2022-12-01"
"종로구","공원087_삼청동 산2-1번지일대_메인","37.5899","126.9843","1","2022-12-01"
"종로구","공원088_내수동 73-3 일대_메인","37.5724","126.9718","1","2022-12-01"
"종로구","공원089_내수동 73-3 일대_메인","37.5722","126.9717","1","2022-12-01"
"종로구","공원090_인사동 275번지 일대_검지1","37.5711","126.9857","1","2022-12-01"
"종로구","공원090_인사동 275번지 일대_검지2","37.5711","126.9857","1","2022-12-01"
"종로구","공원090_인사동 275번지 일대_메인","37.5711","126.9857","1","2022-12-01"
"종로구","공원091_성균관로17길_검지1","37.5902","126.9984","1","2022-12-01"
"종로구","공원091_성균관로17길_검지2","37.5902","126.9984","1","2022-12-01"
"종로구","공원091_성균관로17길_메인","37.5902","126.9984","1","2022-12-01"
"종로구","공원092_성균관로17길_검지1","37.5902","126.9985","1","2022-12-01"
"종로구","공원092_성균관로17길_메인","37.5902","126.9985","1","2022-12-01"
"종로구","공원093_성균관로17길_검지1","37.5902","126.9985","1","2022-12-01"
"종로구","공원093_성균관로17길_메인","37.5902","126.9985","1","2022-12-01"
"종로구","공원094 숭인동 58-149 숭인공원 메인1","37.5783","127.0180","1","2022-12-01"
"종로구","공원095 숭인동 58-149 숭인공원 메인1","37.5784","127.0177","1","2022-12-01"
"종로구","공원096 창덕궁길 19 원서공원 메인1","37.5787","126.9883","1","2022-12-01"
"종로구","공원097 창덕궁길 19 원서공원 메인1","37.5782","126.9883","1","2022-12-01"
"종로구","공원098 창덕궁길 19 원서공원 메인1","37.5787","126.9889","1","2022-12-01"
"종로구","공원099 창덕궁길 19 원서공원 메인1","37.5781","126.9891","1","2022-12-01"
"종로구","공원100 신문로2가 145 검지1","37.5692","126.9725","1","2022-12-01"
"종로구","공원100 신문로2가 145 검지2","37.5692","126.9725","1","2022-12-01"
"종로구","공원100 신문로2가 145 검지3","37.5692","126.9725","1","2022-12-01"
"종로구","공원100 신문로2가 145 메인1","37.5692","126.9725","1","2022-12-01"
"종로구","공원101_낙산성곽동길 72_메인1","37.5787","127.0084","1","2022-12-01"
"종로구","공원102_낙산성곽동길 72_메인1","37.5787","127.0085","1","2022-12-01"
"종로구","공원103_자하문로 35길_메인1","37.5885","126.9659","1","2022-12-01"
"종로구","공원104_자하문로 35길_메인1","37.5886","126.9662","1","2022-12-01"
"종로구","공원105_자하문로 35길_메인1","37.5888","126.9665","1","2022-12-01"
"종로구","공원106_자하문로 35길_메인1","37.5888","126.9660","1","2022-12-01"
"종로구","공원107_성균관로 13길(와룡공원)_검지1","37.5912","126.9953","1","2022-12-01"
"종로구","공원107_성균관로 13길(와룡공원)_메인1","37.5912","126.9953","1","2022-12-01"
"종로구","공원108_성균관로 13길(와룡공원)_메인1","37.5914","126.9954","1","2022-12-01"
"종로구","공원109_성균관로 13길(와룡공원)_메인1","37.5916","126.9951","1","2022-12-01"
"종로구","공원110_누상동 산 1-29(유아숲체험)_메인1","37.5788","126.9629","1","2022-12-01"
